"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",201385,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",196609,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",194959,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",194239,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",192697,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",191966,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",194937,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2020","2020",192055,,
"CAN","Canada","F","Female","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2021","2021",195377,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2013","2013",193116,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2014","2014",189622,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2015","2015",192093,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2016","2016",191467,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2017","2017",191108,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2018","2018",190166,,
"CAN","Canada","M","Male","INST_T","All public and private educational institutions","ISCED11_3","Upper secondary education","2019","2019",192488,,
